"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15 to 64 years","Total - Gender","","0","units","0","","333.1.21.1","2797520","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15 to 64 years","Men+","","0","units","0","","333.1.21.2","1393870","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15 to 64 years","Women+","","0","units","0","","333.1.21.3","1403650","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15 to 19 years","Total - Gender","","0","units","0","","333.1.22.1","227955","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15 to 19 years","Men+","","0","units","0","","333.1.22.2","116030","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15 to 19 years","Women+","","0","units","0","","333.1.22.3","111925","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15","Total - Gender","","0","units","0","","333.1.23.1","46770","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15","Men+","","0","units","0","","333.1.23.2","23750","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","15","Women+","","0","units","0","","333.1.23.3","23015","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","16","Total - Gender","","0","units","0","","333.1.24.1","44895","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","16","Men+","","0","units","0","","333.1.24.2","23020","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","16","Women+","","0","units","0","","333.1.24.3","21870","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","17","Total - Gender","","0","units","0","","333.1.25.1","45100","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","17","Men+","","0","units","0","","333.1.25.2","23050","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","17","Women+","","0","units","0","","333.1.25.3","22055","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","18","Total - Gender","","0","units","0","","333.1.26.1","44205","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","18","Men+","","0","units","0","","333.1.26.2","22400","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","18","Women+","","0","units","0","","333.1.26.3","21805","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","19","Total - Gender","","0","units","0","","333.1.27.1","46990","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","19","Men+","","0","units","0","","333.1.27.2","23810","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","19","Women+","","0","units","0","","333.1.27.3","23180","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","20 to 24 years","Total - Gender","","0","units","0","","333.1.28.1","257910","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","20 to 24 years","Men+","","0","units","0","","333.1.28.2","131255","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","20 to 24 years","Women+","","0","units","0","","333.1.28.3","126650","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","20","Total - Gender","","0","units","0","","333.1.29.1","49575","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","20","Men+","","0","units","0","","333.1.29.2","25250","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","20","Women+","","0","units","0","","333.1.29.3","24325","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","21","Total - Gender","","0","units","0","","333.1.30.1","50955","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","21","Men+","","0","units","0","","333.1.30.2","25845","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","21","Women+","","0","units","0","","333.1.30.3","25105","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","22","Total - Gender","","0","units","0","","333.1.31.1","50125","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","22","Men+","","0","units","0","","333.1.31.2","25470","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","22","Women+","","0","units","0","","333.1.31.3","24650","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","23","Total - Gender","","0","units","0","","333.1.32.1","52120","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","23","Men+","","0","units","0","","333.1.32.2","26510","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","23","Women+","","0","units","0","","333.1.32.3","25610","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","24","Total - Gender","","0","units","0","","333.1.33.1","55135","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","24","Men+","","0","units","0","","333.1.33.2","28180","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","24","Women+","","0","units","0","","333.1.33.3","26955","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","25 to 29 years","Total - Gender","","0","units","0","","333.1.34.1","291650","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","25 to 29 years","Men+","","0","units","0","","333.1.34.2","146995","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","25 to 29 years","Women+","","0","units","0","","333.1.34.3","144655","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","25","Total - Gender","","0","units","0","","333.1.35.1","56785","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","25","Men+","","0","units","0","","333.1.35.2","28915","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","25","Women+","","0","units","0","","333.1.35.3","27875","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","26","Total - Gender","","0","units","0","","333.1.36.1","57710","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","26","Men+","","0","units","0","","333.1.36.2","29055","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","26","Women+","","0","units","0","","333.1.36.3","28660","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","27","Total - Gender","","0","units","0","","333.1.37.1","57740","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","27","Men+","","0","units","0","","333.1.37.2","29185","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","27","Women+","","0","units","0","","333.1.37.3","28555","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","28","Total - Gender","","0","units","0","","333.1.38.1","59250","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","28","Men+","","0","units","0","","333.1.38.2","29725","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","28","Women+","","0","units","0","","333.1.38.3","29525","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","29","Total - Gender","","0","units","0","","333.1.39.1","60165","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","29","Men+","","0","units","0","","333.1.39.2","30120","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","29","Women+","","0","units","0","","333.1.39.3","30040","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","30 to 34 years","Total - Gender","","0","units","0","","333.1.40.1","292510","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","30 to 34 years","Men+","","0","units","0","","333.1.40.2","144670","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","30 to 34 years","Women+","","0","units","0","","333.1.40.3","147840","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","30","Total - Gender","","0","units","0","","333.1.41.1","61410","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","30","Men+","","0","units","0","","333.1.41.2","30580","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","30","Women+","","0","units","0","","333.1.41.3","30830","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","31","Total - Gender","","0","units","0","","333.1.42.1","60675","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","31","Men+","","0","units","0","","333.1.42.2","30125","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","31","Women+","","0","units","0","","333.1.42.3","30550","","","","0"
